"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2012","All genders","Not applicable","Number","9754"
"Afghanistan","2011","All genders","Not applicable","Number","9291"
"Afghanistan","2010","All genders","Not applicable","Number","7737"
"Afghanistan","2009","All genders","Not applicable","Number","5416"
"Afghanistan","2008","All genders","Not applicable","Number","4355"
"Afghanistan","2007","All genders","Not applicable","Number","3720"
"Afghanistan","2006","All genders","Not applicable","Number","3178"
"Afghanistan","2005","All genders","Not applicable","Number","3336"
"Afghanistan","2004","All genders","Not applicable","Number","3045"
"Afghanistan","2003","All genders","Not applicable","Number","2970"
"Afghanistan","2002","All genders","Not applicable","Number","2956"
"Afghanistan","2001","All genders","Not applicable","Number","2757"
"Afghanistan","2000","All genders","Not applicable","Number","2800"
"Afghanistan","1999","All genders","Not applicable","Number","2772"
"Afghanistan","1998","All genders","Not applicable","Number","2804"
"Albania","2012","All genders","Not applicable","Number","24847"
"Albania","2011","All genders","Not applicable","Number","25415"
"Albania","2010","All genders","Not applicable","Number","23765"
"Albania","2009","All genders","Not applicable","Number","22686"
"Albania","2008","All genders","Not applicable","Number","20948"
"Albania","2007","All genders","Not applicable","Number","19882"
"Albania","2006","All genders","Not applicable","Number","17418"
"Albania","2005","All genders","Not applicable","Number","15193"
"Albania","2004","All genders","Not applicable","Number","13598"
"Albania","2003","All genders","Not applicable","Number","11428"
"Albania","2002","All genders","Not applicable","Number","8561"
"Albania","2001","All genders","Not applicable","Number","7339"
"Albania","2000","All genders","Not applicable","Number","5780"
"Albania","1999","All genders","Not applicable","Number","4638"
"Albania","1998","All genders","Not applicable","Number","4549"
"Algeria","2012","All genders","Not applicable","Number","24751"
"Algeria","2011","All genders","Not applicable","Number","23909"
"Algeria","2010","All genders","Not applicable","Number","22791"
"Algeria","2009","All genders","Not applicable","Number","22463"
"Algeria","2008","All genders","Not applicable","Number","21924"
"Algeria","2007","All genders","Not applicable","Number","23001"
"Algeria","2006","All genders","Not applicable","Number","24944"
"Algeria","2005","All genders","Not applicable","Number","24696"
"Algeria","2004","All genders","Not applicable","Number","24588"
"Algeria","2003","All genders","Not applicable","Number","21202"
"Algeria","2002","All genders","Not applicable","Number","17145"
"Algeria","2001","All genders","Not applicable","Number","15381"
"Algeria","2000","All genders","Not applicable","Number","16329"
"Algeria","1999","All genders","Not applicable","Number","17424"
"Algeria","1998","All genders","Not applicable","Number","17371"
"Andorra","2012","All genders","Not applicable","Number","1320"
"Andorra","2011","All genders","Not applicable","Number","1374"
"Andorra","2010","All genders","Not applicable","Number","1249"
"Andorra","2009","All genders","Not applicable","Number","1315"
"Andorra","2008","All genders","Not applicable","Number","1200"
"Andorra","2007","All genders","Not applicable","Number","992"
"Andorra","2006","All genders","Not applicable","Number","305"
"Andorra","2005","All genders","Not applicable","Number","1085"
"Andorra","2004","All genders","Not applicable","Number","1224"
"Andorra","2003","All genders","Not applicable","Number","897"
"Andorra","2002","All genders","Not applicable","Number","714"
"Andorra","2001","All genders","Not applicable","Number","624"
"Andorra","2000","All genders","Not applicable","Number","652"
"Andorra","1999","All genders","Not applicable","Number","665"
"Andorra","1998","All genders","Not applicable","Number","640"
"Angola","2012","All genders","Not applicable","Number","7534"
"Angola","2011","All genders","Not applicable","Number","7319"
"Angola","2010","All genders","Not applicable","Number","7259"
"Angola","2009","All genders","Not applicable","Number","7272"
"Angola","2008","All genders","Not applicable","Number","6070"
"Angola","2007","All genders","Not applicable","Number","8788"
"Angola","2006","All genders","Not applicable","Number","7634"
"Angola","2005","All genders","Not applicable","Number","7392"
"Angola","2004","All genders","Not applicable","Number","6404"
"Angola","2003","All genders","Not applicable","Number","6218"
"Angola","2002","All genders","Not applicable","Number","5435"
"Angola","2001","All genders","Not applicable","Number","5282"
"Angola","2000","All genders","Not applicable","Number","4741"
"Angola","1999","All genders","Not applicable","Number","4725"
"Angola","1998","All genders","Not applicable","Number","4575"
"Anguilla","2012","All genders","Not applicable","Number","95"
"Anguilla","2011","All genders","Not applicable","Number","105"
"Anguilla","2010","All genders","Not applicable","Number","129"
"Anguilla","2009","All genders","Not applicable","Number","143"
"Anguilla","2008","All genders","Not applicable","Number","151"
"Anguilla","2007","All genders","Not applicable","Number","21"
"Anguilla","2006","All genders","Not applicable","Number","25"
"Anguilla","2005","All genders","Not applicable","Number","100"
"Anguilla","2004","All genders","Not applicable","Number","94"
"Anguilla","2003","All genders","Not applicable","Number","59"
"Anguilla","2002","All genders","Not applicable","Number","41"
"Anguilla","2001","All genders","Not applicable","Number","14"
"Anguilla","2000","All genders","Not applicable","Number","14"
"Anguilla","1999","All genders","Not applicable","Number","14"
"Antigua and Barbuda","2012","All genders","Not applicable","Number","552"
"Antigua and Barbuda","2011","All genders","Not applicable","Number","622"
"Antigua and Barbuda","2010","All genders","Not applicable","Number","659"
"Antigua and Barbuda","2009","All genders","Not applicable","Number","670"
"Antigua and Barbuda","2008","All genders","Not applicable","Number","630"
"Antigua and Barbuda","2007","All genders","Not applicable","Number","630"
