"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Antigua and Barbuda","2006","All genders","Not applicable","Number","527"
"Antigua and Barbuda","2005","All genders","Not applicable","Number","602"
"Antigua and Barbuda","2004","All genders","Not applicable","Number","576"
"Antigua and Barbuda","2003","All genders","Not applicable","Number","544"
"Antigua and Barbuda","2002","All genders","Not applicable","Number","563"
"Antigua and Barbuda","2001","All genders","Not applicable","Number","508"
"Antigua and Barbuda","2000","All genders","Not applicable","Number","526"
"Antigua and Barbuda","1999","All genders","Not applicable","Number","439"
"Antigua and Barbuda","1998","All genders","Not applicable","Number","407"
"Argentina","2012","All genders","Not applicable","Number","8084"
"Argentina","2011","All genders","Not applicable","Number","9350"
"Argentina","2010","All genders","Not applicable","Number","9781"
"Argentina","2009","All genders","Not applicable","Number","9061"
"Argentina","2008","All genders","Not applicable","Number","9331"
"Argentina","2007","All genders","Not applicable","Number","8373"
"Argentina","2006","All genders","Not applicable","Number","8354"
"Argentina","2005","All genders","Not applicable","Number","8304"
"Argentina","2004","All genders","Not applicable","Number","8344"
"Argentina","2003","All genders","Not applicable","Number","9523"
"Argentina","2002","All genders","Not applicable","Number","7986"
"Argentina","2001","All genders","Not applicable","Number","6903"
"Argentina","2000","All genders","Not applicable","Number","6915"
"Argentina","1999","All genders","Not applicable","Number","5890"
"Argentina","1998","All genders","Not applicable","Number","5745"
"Armenia","2012","All genders","Not applicable","Number","7011"
"Armenia","2011","All genders","Not applicable","Number","6912"
"Armenia","2010","All genders","Not applicable","Number","6269"
"Armenia","2009","All genders","Not applicable","Number","5419"
"Armenia","2008","All genders","Not applicable","Number","5300"
"Armenia","2007","All genders","Not applicable","Number","3916"
"Armenia","2006","All genders","Not applicable","Number","3753"
"Armenia","2005","All genders","Not applicable","Number","3430"
"Armenia","2004","All genders","Not applicable","Number","2882"
"Armenia","2003","All genders","Not applicable","Number","3153"
"Armenia","2002","All genders","Not applicable","Number","2333"
"Armenia","2001","All genders","Not applicable","Number","2421"
"Armenia","2000","All genders","Not applicable","Number","1992"
"Armenia","1999","All genders","Not applicable","Number","1828"
"Armenia","1998","All genders","Not applicable","Number","1825"
"Aruba","2012","All genders","Not applicable","Number","105"
"Aruba","2011","All genders","Not applicable","Number","130"
"Aruba","2010","All genders","Not applicable","Number","397"
"Aruba","2009","All genders","Not applicable","Number","199"
"Aruba","2008","All genders","Not applicable","Number","85"
"Aruba","2007","All genders","Not applicable","Number","142"
"Aruba","2006","All genders","Not applicable","Number","140"
"Aruba","2005","All genders","Not applicable","Number","110"
"Aruba","2004","All genders","Not applicable","Number","201"
"Aruba","2003","All genders","Not applicable","Number","95"
"Aruba","2002","All genders","Not applicable","Number","277"
"Aruba","2001","All genders","Not applicable","Number","108"
"Aruba","2000","All genders","Not applicable","Number","124"
"Aruba","1999","All genders","Not applicable","Number","80"
"Aruba","1998","All genders","Not applicable","Number","124"
"Australia","2012","All genders","Not applicable","Number","10968"
"Australia","2011","All genders","Not applicable","Number","10809"
"Australia","2010","All genders","Not applicable","Number","10641"
"Australia","2009","All genders","Not applicable","Number","10254"
"Australia","2008","All genders","Not applicable","Number","9824"
"Australia","2007","All genders","Not applicable","Number","10294"
"Australia","2006","All genders","Not applicable","Number","9795"
"Australia","2005","All genders","Not applicable","Number","9485"
"Australia","2004","All genders","Not applicable","Number","8974"
"Australia","2003","All genders","Not applicable","Number","6385"
"Australia","2002","All genders","Not applicable","Number","5852"
"Australia","2001","All genders","Not applicable","Number","5379"
"Australia","2000","All genders","Not applicable","Number","5483"
"Australia","1999","All genders","Not applicable","Number","5265"
"Australia","1998","All genders","Not applicable","Number","5059"
"Austria","2012","All genders","Not applicable","Number","15191"
"Austria","2011","All genders","Not applicable","Number","13926"
"Austria","2010","All genders","Not applicable","Number","12831"
"Austria","2009","All genders","Not applicable","Number","11598"
"Austria","2008","All genders","Not applicable","Number","10249"
"Austria","2007","All genders","Not applicable","Number","10495"
"Austria","2006","All genders","Not applicable","Number","9955"
"Austria","2005","All genders","Not applicable","Number","11593"
"Austria","2004","All genders","Not applicable","Number","12183"
"Austria","2003","All genders","Not applicable","Number","13015"
"Austria","2002","All genders","Not applicable","Number","12613"
"Austria","2001","All genders","Not applicable","Number","11985"
"Austria","2000","All genders","Not applicable","Number","11879"
"Austria","1999","All genders","Not applicable","Number","11759"
"Austria","1998","All genders","Not applicable","Number","11590"
"Azerbaijan","2012","All genders","Not applicable","Number","20127"
"Azerbaijan","2011","All genders","Not applicable","Number","19001"
"Azerbaijan","2010","All genders","Not applicable","Number","14284"
"Azerbaijan","2009","All genders","Not applicable","Number","10049"
"Azerbaijan","2008","All genders","Not applicable","Number","7234"
"Azerbaijan","2007","All genders","Not applicable","Number","4820"
"Azerbaijan","2006","All genders","Not applicable","Number","4552"
"Azerbaijan","2005","All genders","Not applicable","Number","4103"
"Azerbaijan","2004","All genders","Not applicable","Number","3871"
"Azerbaijan","2003","All genders","Not applicable","Number","5749"
"Azerbaijan","2002","All genders","Not applicable","Number","5978"
"Azerbaijan","2001","All genders","Not applicable","Number","3794"
"Azerbaijan","2000","All genders","Not applicable","Number","4617"
"Azerbaijan","1999","All genders","Not applicable","Number","4640"
"Azerbaijan","1998","All genders","Not applicable","Number","4595"
"Bahamas","2012","All genders","Not applicable","Number","2521"
"Bahamas","2011","All genders","Not applicable","Number","2521"
"Bahamas","2010","All genders","Not applicable","Number","2729"
"Bahamas","2009","All genders","Not applicable","Number","2660"
"Bahamas","2008","All genders","Not applicable","Number","2450"
"Bahamas","2007","All genders","Not applicable","Number","2611"
"Bahamas","2006","All genders","Not applicable","Number","2493"
"Bahamas","2005","All genders","Not applicable","Number","2600"
"Bahamas","2004","All genders","Not applicable","Number","2914"
"Bahamas","2003","All genders","Not applicable","Number","2857"
"Bahamas","2002","All genders","Not applicable","Number","2775"
"Bahamas","2001","All genders","Not applicable","Number","2430"
"Bahamas","2000","All genders","Not applicable","Number","2299"
"Bahamas","1999","All genders","Not applicable","Number","2338"
"Bahamas","1998","All genders","Not applicable","Number","2248"
"Bahrain","2012","All genders","Not applicable","Number","4096"
"Bahrain","2011","All genders","Not applicable","Number","3948"
"Bahrain","2010","All genders","Not applicable","Number","4090"
"Bahrain","2009","All genders","Not applicable","Number","3919"
"Bahrain","2008","All genders","Not applicable","Number","3844"
"Bahrain","2007","All genders","Not applicable","Number","3561"
"Bahrain","2006","All genders","Not applicable","Number","3405"
"Bahrain","2005","All genders","Not applicable","Number","3308"
"Bahrain","2004","All genders","Not applicable","Number","2835"
"Bahrain","2003","All genders","Not applicable","Number","2494"
"Bahrain","2002","All genders","Not applicable","Number","2397"
"Bahrain","2001","All genders","Not applicable","Number","2149"
"Bahrain","2000","All genders","Not applicable","Number","1990"
"Bahrain","1999","All genders","Not applicable","Number","1876"
"Bahrain","1998","All genders","Not applicable","Number","1832"
"Bangladesh","2012","All genders","Not applicable","Number","21927"
"Bangladesh","2011","All genders","Not applicable","Number","22484"
"Bangladesh","2010","All genders","Not applicable","Number","21615"
"Bangladesh","2009","All genders","Not applicable","Number","19223"
"Bangladesh","2008","All genders","Not applicable","Number","16487"
"Bangladesh","2007","All genders","Not applicable","Number","15637"
"Bangladesh","2006","All genders","Not applicable","Number","14405"
"Bangladesh","2005","All genders","Not applicable","Number","14301"
"Bangladesh","2004","All genders","Not applicable","Number","14368"
"Bangladesh","2003","All genders","Not applicable","Number","15261"
"Bangladesh","2002","All genders","Not applicable","Number","11456"
"Bangladesh","2001","All genders","Not applicable","Number","9297"
"Bangladesh","2000","All genders","Not applicable","Number","7789"
"Bangladesh","1999","All genders","Not applicable","Number","7050"
"Bangladesh","1998","All genders","Not applicable","Number","6677"
"Barbados","2012","All genders","Not applicable","Number","1139"
"Barbados","2011","All genders","Not applicable","Number","1235"
"Barbados","2010","All genders","Not applicable","Number","1286"
"Barbados","2009","All genders","Not applicable","Number","1395"
"Barbados","2008","All genders","Not applicable","Number","1379"
"Barbados","2007","All genders","Not applicable","Number","1524"
"Barbados","2006","All genders","Not applicable","Number","1625"
"Barbados","2005","All genders","Not applicable","Number","1663"
"Barbados","2004","All genders","Not applicable","Number","1590"
"Barbados","2003","All genders","Not applicable","Number","1583"
"Barbados","2002","All genders","Not applicable","Number","1517"
"Barbados","2001","All genders","Not applicable","Number","1383"
"Barbados","2000","All genders","Not applicable","Number","1433"
"Barbados","1999","All genders","Not applicable","Number","1261"
"Barbados","1998","All genders","Not applicable","Number","1152"
"Belarus","2012","All genders","Not applicable","Number","40643"
"Belarus","2011","All genders","Not applicable","Number","40432"
"Belarus","2010","All genders","Not applicable","Number","34846"
"Belarus","2009","All genders","Not applicable","Number","28544"
"Belarus","2008","All genders","Not applicable","Number","29774"
"Belarus","2007","All genders","Not applicable","Number","14838"
"Belarus","2006","All genders","Not applicable","Number","12326"
"Belarus","2005","All genders","Not applicable","Number","11315"
"Belarus","2004","All genders","Not applicable","Number","10592"
"Belarus","2003","All genders","Not applicable","Number","7595"
"Belarus","2002","All genders","Not applicable","Number","8366"
"Belarus","2001","All genders","Not applicable","Number","6490"
"Belarus","2000","All genders","Not applicable","Number","6688"
"Belarus","1999","All genders","Not applicable","Number","6223"
"Belarus","1998","All genders","Not applicable","Number","6098"
"Belgium","2012","All genders","Not applicable","Number","13198"
"Belgium","2011","All genders","Not applicable","Number","12214"
"Belgium","2010","All genders","Not applicable","Number","11226"
"Belgium","2009","All genders","Not applicable","Number","10403"
"Belgium","2008","All genders","Not applicable","Number","9823"
"Belgium","2007","All genders","Not applicable","Number","10573"
"Belgium","2006","All genders","Not applicable","Number","10429"
"Belgium","2005","All genders","Not applicable","Number","9951"
"Belgium","2004","All genders","Not applicable","Number","10074"
"Belgium","2003","All genders","Not applicable","Number","11873"
"Belgium","2002","All genders","Not applicable","Number","10870"
"Belgium","2001","All genders","Not applicable","Number","10545"
"Belgium","2000","All genders","Not applicable","Number","10095"
"Belgium","1999","All genders","Not applicable","Number","9671"
"Belgium","1998","All genders","Not applicable","Number","9345"
"Belize","2012","All genders","Not applicable","Number","761"
"Belize","2011","All genders","Not applicable","Number","837"
"Belize","2010","All genders","Not applicable","Number","863"
"Belize","2009","All genders","Not applicable","Number","882"
"Belize","2008","All genders","Not applicable","Number","867"
"Belize","2007","All genders","Not applicable","Number","752"
"Belize","2006","All genders","Not applicable","Number","788"
"Belize","2005","All genders","Not applicable","Number","796"
"Belize","2004","All genders","Not applicable","Number","837"
"Belize","2003","All genders","Not applicable","Number","765"
"Belize","2002","All genders","Not applicable","Number","695"
"Belize","2001","All genders","Not applicable","Number","691"
"Belize","2000","All genders","Not applicable","Number","678"
"Belize","1999","All genders","Not applicable","Number","552"
"Belize","1998","All genders","Not applicable","Number","547"
"Benin","2012","All genders","Not applicable","Number","3871"
"Benin","2011","All genders","Not applicable","Number","4013"
"Benin","2010","All genders","Not applicable","Number","4006"
"Benin","2009","All genders","Not applicable","Number","3887"
"Benin","2008","All genders","Not applicable","Number","4158"
"Benin","2007","All genders","Not applicable","Number","4115"
"Benin","2006","All genders","Not applicable","Number","4285"
"Benin","2005","All genders","Not applicable","Number","3926"
"Benin","2004","All genders","Not applicable","Number","3745"
"Benin","2003","All genders","Not applicable","Number","3611"
"Benin","2002","All genders","Not applicable","Number","2942"
"Benin","2001","All genders","Not applicable","Number","2626"
"Benin","2000","All genders","Not applicable","Number","2481"
"Benin","1999","All genders","Not applicable","Number","2317"
"Benin","1998","All genders","Not applicable","Number","2300"
"Bermuda","2012","All genders","Not applicable","Number","1435"
"Bermuda","2011","All genders","Not applicable","Number","1221"
"Bermuda","2010","All genders","Not applicable","Number","1192"
"Bermuda","2009","All genders","Not applicable","Number","1153"
"Bermuda","2008","All genders","Not applicable","Number","1211"
"Bermuda","2007","All genders","Not applicable","Number","1270"
"Bermuda","2006","All genders","Not applicable","Number","1084"
"Bermuda","2005","All genders","Not applicable","Number","1197"
"Bermuda","2004","All genders","Not applicable","Number","1301"
"Bermuda","2003","All genders","Not applicable","Number","1375"
"Bermuda","2002","All genders","Not applicable","Number","1139"
"Bermuda","2001","All genders","Not applicable","Number","1130"
"Bermuda","2000","All genders","Not applicable","Number","1081"
"Bermuda","1999","All genders","Not applicable","Number","1027"
"Bermuda","1998","All genders","Not applicable","Number","930"
"Bhutan","2012","All genders","Not applicable","Number","3186"
"Bhutan","2011","All genders","Not applicable","Number","2091"
"Bhutan","2010","All genders","Not applicable","Number","1931"
"Bhutan","2009","All genders","Not applicable","Number","1639"
"Bhutan","2008","All genders","Not applicable","Number","1294"
"Bhutan","2007","All genders","Not applicable","Number","1086"
"Bhutan","2006","All genders","Not applicable","Number","902"
"Bhutan","2005","All genders","Not applicable","Number","807"
"Bhutan","2004","All genders","Not applicable","Number","559"
"Bhutan","2003","All genders","Not applicable","Number","568"
"Bhutan","2002","All genders","Not applicable","Number","651"
"Bhutan","2001","All genders","Not applicable","Number","457"
"Bhutan","2000","All genders","Not applicable","Number","729"
"Bhutan","1999","All genders","Not applicable","Number","676"
"Bhutan","1998","All genders","Not applicable","Number","691"
"Bolivia","2012","All genders","Not applicable","Number","9096"
"Bolivia","2011","All genders","Not applicable","Number","9763"
"Bolivia","2010","All genders","Not applicable","Number","10390"
"Bolivia","2009","All genders","Not applicable","Number","10030"
"Bolivia","2008","All genders","Not applicable","Number","10098"
"Bolivia","2007","All genders","Not applicable","Number","8957"
"Bolivia","2006","All genders","Not applicable","Number","4326"
"Bolivia","2005","All genders","Not applicable","Number","3656"
"Bolivia","2004","All genders","Not applicable","Number","3227"
"Bolivia","2003","All genders","Not applicable","Number","3469"
"Bolivia","2002","All genders","Not applicable","Number","3087"
"Bolivia","2001","All genders","Not applicable","Number","2703"
"Bolivia","2000","All genders","Not applicable","Number","2460"
"Bolivia","1999","All genders","Not applicable","Number","2260"
"Bolivia","1998","All genders","Not applicable","Number","2258"
"Bosnia and Herzegovina","2012","All genders","Not applicable","Number","11437"
"Bosnia and Herzegovina","2011","All genders","Not applicable","Number","11873"
"Bosnia and Herzegovina","2010","All genders","Not applicable","Number","12464"
"Bosnia and Herzegovina","2009","All genders","Not applicable","Number","12736"
"Bosnia and Herzegovina","2008","All genders","Not applicable","Number","15270"
"Bosnia and Herzegovina","2007","All genders","Not applicable","Number","14759"
"Bosnia and Herzegovina","2006","All genders","Not applicable","Number","14584"
"Bosnia and Herzegovina","2005","All genders","Not applicable","Number","16469"
"Bosnia and Herzegovina","2004","All genders","Not applicable","Number","15660"
"Bosnia and Herzegovina","2003","All genders","Not applicable","Number","15871"
"Bosnia and Herzegovina","2002","All genders","Not applicable","Number","13471"
"Bosnia and Herzegovina","2001","All genders","Not applicable","Number","15157"
"Bosnia and Herzegovina","2000","All genders","Not applicable","Number","13963"
"Bosnia and Herzegovina","1999","All genders","Not applicable","Number","12293"
"Bosnia and Herzegovina","1998","All genders","Not applicable","Number","12142"
"Botswana","2012","All genders","Not applicable","Number","6634"
"Botswana","2011","All genders","Not applicable","Number","6714"
"Botswana","2010","All genders","Not applicable","Number","8069"
"Botswana","2009","All genders","Not applicable","Number","8971"
"Botswana","2008","All genders","Not applicable","Number","7469"
"Botswana","2007","All genders","Not applicable","Number","7246"
"Botswana","2006","All genders","Not applicable","Number","8094"
"Botswana","2005","All genders","Not applicable","Number","9390"
"Botswana","2004","All genders","Not applicable","Number","10424"
"Botswana","2003","All genders","Not applicable","Number","9632"
"Botswana","2002","All genders","Not applicable","Number","8987"
"Botswana","2001","All genders","Not applicable","Number","7312"
"Botswana","2000","All genders","Not applicable","Number","3582"
"Botswana","1999","All genders","Not applicable","Number","2764"
"Botswana","1998","All genders","Not applicable","Number","2385"
"Brazil","2012","All genders","Not applicable","Number","30729"
"Brazil","2011","All genders","Not applicable","Number","29870"
"Brazil","2010","All genders","Not applicable","Number","28001"
"Brazil","2009","All genders","Not applicable","Number","26485"
"Brazil","2008","All genders","Not applicable","Number","23250"
"Brazil","2007","All genders","Not applicable","Number","21779"
"Brazil","2006","All genders","Not applicable","Number","20126"
"Brazil","2005","All genders","Not applicable","Number","19670"
"Brazil","2004","All genders","Not applicable","Number","19531"
"Brazil","2003","All genders","Not applicable","Number","20333"
"Brazil","2002","All genders","Not applicable","Number","19780"
"Brazil","2001","All genders","Not applicable","Number","17710"
"Brazil","2000","All genders","Not applicable","Number","17520"
"Brazil","1999","All genders","Not applicable","Number","16514"
"Brazil","1998","All genders","Not applicable","Number","16242"
"British Virgin Islands","2012","All genders","Not applicable","Number","513"
"British Virgin Islands","2011","All genders","Not applicable","Number","454"
"British Virgin Islands","2010","All genders","Not applicable","Number","358"
"British Virgin Islands","2009","All genders","Not applicable","Number","369"
"British Virgin Islands","2008","All genders","Not applicable","Number","303"
"British Virgin Islands","2007","All genders","Not applicable","Number","325"
"British Virgin Islands","2006","All genders","Not applicable","Number","351"
"British Virgin Islands","2005","All genders","Not applicable","Number","373"
"British Virgin Islands","2004","All genders","Not applicable","Number","230"
"British Virgin Islands","2003","All genders","Not applicable","Number","234"
"British Virgin Islands","2002","All genders","Not applicable","Number","331"
"British Virgin Islands","2001","All genders","Not applicable","Number","135"
"British Virgin Islands","2000","All genders","Not applicable","Number","121"
"British Virgin Islands","1999","All genders","Not applicable","Number","134"
"British Virgin Islands","1998","All genders","Not applicable","Number","113"
"Brunei Darussalam","2012","All genders","Not applicable","Number","3423"
"Brunei Darussalam","2011","All genders","Not applicable","Number","3298"
"Brunei Darussalam","2010","All genders","Not applicable","Number","3198"
"Brunei Darussalam","2009","All genders","Not applicable","Number","3001"
"Brunei Darussalam","2008","All genders","Not applicable","Number","2780"
"Brunei Darussalam","2007","All genders","Not applicable","Number","2429"
"Brunei Darussalam","2006","All genders","Not applicable","Number","2032"
"Brunei Darussalam","2005","All genders","Not applicable","Number","2344"
"Brunei Darussalam","2004","All genders","Not applicable","Number","1824"
"Brunei Darussalam","2003","All genders","Not applicable","Number","1809"
"Brunei Darussalam","2002","All genders","Not applicable","Number","1879"
"Brunei Darussalam","2001","All genders","Not applicable","Number","1897"
"Brunei Darussalam","2000","All genders","Not applicable","Number","2052"
"Brunei Darussalam","1999","All genders","Not applicable","Number","2099"
"Brunei Darussalam","1998","All genders","Not applicable","Number","1965"
"Bulgaria","2012","All genders","Not applicable","Number","25329"
"Bulgaria","2011","All genders","Not applicable","Number","24289"
"Bulgaria","2010","All genders","Not applicable","Number","24140"
"Bulgaria","2009","All genders","Not applicable","Number","23629"
"Bulgaria","2008","All genders","Not applicable","Number","23247"
"Bulgaria","2007","All genders","Not applicable","Number","24582"
"Bulgaria","2006","All genders","Not applicable","Number","25479"
"Bulgaria","2005","All genders","Not applicable","Number","25667"
"Bulgaria","2004","All genders","Not applicable","Number","24674"
"Bulgaria","2003","All genders","Not applicable","Number","22247"
"Bulgaria","2002","All genders","Not applicable","Number","18420"
"Bulgaria","2001","All genders","Not applicable","Number","14449"
"Bulgaria","2000","All genders","Not applicable","Number","11745"
"Bulgaria","1999","All genders","Not applicable","Number","10068"
"Bulgaria","1998","All genders","Not applicable","Number","9932"
"Burkina Faso","2012","All genders","Not applicable","Number","3313"
"Burkina Faso","2011","All genders","Not applicable","Number","3256"
"Burkina Faso","2010","All genders","Not applicable","Number","3163"
"Burkina Faso","2009","All genders","Not applicable","Number","2765"
"Burkina Faso","2008","All genders","Not applicable","Number","2819"
"Burkina Faso","2007","All genders","Not applicable","Number","2692"
"Burkina Faso","2006","All genders","Not applicable","Number","2608"
"Burkina Faso","2005","All genders","Not applicable","Number","2223"
"Burkina Faso","2004","All genders","Not applicable","Number","1936"
"Burkina Faso","2003","All genders","Not applicable","Number","1881"
"Burkina Faso","2002","All genders","Not applicable","Number","1607"
"Burkina Faso","2001","All genders","Not applicable","Number","1360"
"Burkina Faso","2000","All genders","Not applicable","Number","1254"
"Burkina Faso","1999","All genders","Not applicable","Number","1254"
"Burkina Faso","1998","All genders","Not applicable","Number","1231"
"Burundi","2012","All genders","Not applicable","Number","1872"
"Burundi","2011","All genders","Not applicable","Number","1749"
"Burundi","2010","All genders","Not applicable","Number","1477"
"Burundi","2009","All genders","Not applicable","Number","1423"
"Burundi","2008","All genders","Not applicable","Number","1308"
"Burundi","2007","All genders","Not applicable","Number","1098"
"Burundi","2006","All genders","Not applicable","Number","958"
"Burundi","2005","All genders","Not applicable","Number","811"
"Burundi","2004","All genders","Not applicable","Number","815"
"Burundi","2003","All genders","Not applicable","Number","882"
"Burundi","2002","All genders","Not applicable","Number","862"
"Burundi","2001","All genders","Not applicable","Number","827"
"Burundi","2000","All genders","Not applicable","Number","758"
"Burundi","1999","All genders","Not applicable","Number","746"
"Burundi","1998","All genders","Not applicable","Number","744"
"Cambodia","2012","All genders","Not applicable","Number","4287"
"Cambodia","2011","All genders","Not applicable","Number","4189"
"Cambodia","2010","All genders","Not applicable","Number","4108"
"Cambodia","2009","All genders","Not applicable","Number","3781"
"Cambodia","2008","All genders","Not applicable","Number","3052"
"Cambodia","2007","All genders","Not applicable","Number","2856"
"Cambodia","2006","All genders","Not applicable","Number","2570"
"Cambodia","2005","All genders","Not applicable","Number","2416"
"Cambodia","2004","All genders","Not applicable","Number","2392"
"Cambodia","2003","All genders","Not applicable","Number","2304"
"Cambodia","2002","All genders","Not applicable","Number","1878"
"Cambodia","2001","All genders","Not applicable","Number","1702"
"Cambodia","2000","All genders","Not applicable","Number","1600"
"Cambodia","1999","All genders","Not applicable","Number","1353"
"Cambodia","1998","All genders","Not applicable","Number","1326"
"Cameroon","2012","All genders","Not applicable","Number","22297"
"Cameroon","2011","All genders","Not applicable","Number","22471"
"Cameroon","2010","All genders","Not applicable","Number","20424"
"Cameroon","2009","All genders","Not applicable","Number","19239"
"Cameroon","2008","All genders","Not applicable","Number","18434"
"Cameroon","2007","All genders","Not applicable","Number","17091"
"Cameroon","2006","All genders","Not applicable","Number","16220"
"Cameroon","2005","All genders","Not applicable","Number","15554"
"Cameroon","2004","All genders","Not applicable","Number","14502"
"Cameroon","2003","All genders","Not applicable","Number","14203"
"Cameroon","2002","All genders","Not applicable","Number","12082"
"Cameroon","2001","All genders","Not applicable","Number","11200"
"Cameroon","2000","All genders","Not applicable","Number","10511"
"Cameroon","1999","All genders","Not applicable","Number","9537"
"Cameroon","1998","All genders","Not applicable","Number","9481"
"Canada","2012","All genders","Not applicable","Number","45509"
"Canada","2011","All genders","Not applicable","Number","45944"
"Canada","2010","All genders","Not applicable","Number","46112"
"Canada","2009","All genders","Not applicable","Number","46814"
"Canada","2008","All genders","Not applicable","Number","45561"
"Canada","2007","All genders","Not applicable","Number","45121"
"Canada","2006","All genders","Not applicable","Number","44515"
"Canada","2005","All genders","Not applicable","Number","43335"
"Canada","2004","All genders","Not applicable","Number","40028"
